id_cliente,identificacion,nombre,apellido,genero,fecha_nacimiento,correo,telefono,id_programa,fecha_afiliacion,tipo_cliente
81,208134760,Ofelia,Tejeda Marín,N,1980-01-05,mauricio83@example.org,1-456-424-0082x547,,,Ocasional
82,479594880,Oswaldo,Aguilera Salazar,N,2003-04-03,aluna@example.com,(930)853-6866,4,2022-04-06,Ocasional
83,284810643,Felix,Dávila Orellana,M,1956-12-22,qgaray@example.org,(389)448-4631x224,,,Frecuente
84,861918827,Blanca,Reséndez Regalado,M,1966-03-26,silvia73@example.com,+20(8)0214427031,,,VIP
85,166609515,Cornelio,Alejandro Salcido,F,1950-05-21,jacoboperes@example.com,570.512.0461x872,4,2022-08-06,Ocasional
86,752350537,Elisa,Henríquez Olivárez,N,1992-03-16,casasfelix@example.com,1-303-718-3764x520,4,2025-02-12,VIP
87,577794768,Paulina,Soliz Casillas,M,1999-02-13,mauricio43@example.com,+31(3)6502491630,2,2024-11-07,Ocasional
88,941538869,Alma,Verdugo Roldán,M,1965-01-31,jose-emilioburgos@example.org,(719)500-5281,1,2022-04-21,Ocasional
89,122199190,Carmen,Saavedra Gonzales,M,1974-11-21,porfirio57@example.net,1-065-240-7784,,,Frecuente
90,679870995,Patricia,Saiz Espinal,N,1967-08-11,pamelamontero@example.com,749.821.8274x48570,1,2022-09-19,Ocasional
91,020962174,Teodoro,Santillán Ojeda,M,1959-04-06,aidanarvaez@example.net,518.638.7829,,,Frecuente
92,071030216,Guillermina,Medrano Parra,M,1980-11-25,blanca18@example.net,00220317310,4,2024-07-24,Ocasional
93,435627669,Reina,Oquendo Saiz,M,1987-04-19,amador53@example.net,1-103-717-0586x50948,,,Ocasional
94,902809592,Alfredo,Batista Maestas,M,1973-08-27,galveznorma@example.org,03863383928,,,Frecuente
95,526310894,Porfirio,Pelayo Caraballo,M,1994-12-15,zeferino76@example.org,(286)852-8975,3,2024-05-05,VIP
96,894783790,Ignacio,Urbina Meléndez,N,1985-04-28,liliana65@example.net,983.684.5776,3,2023-06-06,Frecuente
97,309313775,Abel,Aragón Linares,F,1950-10-07,sisneroscelia@example.com,+43(3)5048889921,2,2024-07-18,Frecuente
98,183480927,Alfonso,Rincón Moya,N,1962-05-01,citlalijaimes@example.com,1-334-419-6931x5727,,,Ocasional
99,953615580,Reynaldo,Cadena Yáñez,N,1994-03-25,alfonso96@example.org,+55(6)6139060480,1,2025-06-29,Ocasional
100,912380662,Indira,Tirado Vallejo,M,2000-03-19,itzelsandoval@example.net,206.799.8136,2,2023-07-31,Frecuente
101,991305222,Gregorio,Orta Cordero,M,1971-08-12,ivanborrego@example.com,1-086-416-8622x7837,,,VIP
102,364092873,Leonardo,Vázquez Estévez,N,2000-07-28,federicobecerra@example.com,(591)166-5535x590,4,2024-04-02,Ocasional
103,587279693,Hilda,de la O Montez,M,1989-03-03,cconcepcion@example.org,352.110.3924,3,2024-03-15,Frecuente
104,377384911,Adela,Montalvo Carranza,F,1983-03-11,maria-del-carmen70@example.com,1-833-884-8792,1,2025-03-18,VIP
105,386958131,Yolanda,Almanza Ocampo,F,2001-08-26,herreradavid@example.org,(394)070-1645,4,2023-01-08,Frecuente
106,190822751,Bianca,Almaraz Loya,M,1984-07-10,ygodoy@example.net,1-157-981-2387x80038,,,VIP
107,062517141,Hilda,Merino Saiz,F,1977-09-19,bcortez@example.com,(554)384-0460x84325,,,Frecuente
108,446419906,Laura,Chapa Brito,N,1960-12-11,rsoliz@example.net,363-926-4957x82329,3,2022-12-09,Frecuente
109,113509213,Patricia,Fierro Chavarría,N,1975-01-24,ofelia26@example.org,925-188-1252x05664,4,2023-06-16,Ocasional
110,268411989,Margarita,Lara Coronado,N,1952-04-09,bernabeceja@example.org,+99(4)9993933051,3,2022-10-30,Ocasional
111,244543141,Mateo,Cervantes Sandoval,M,1954-03-09,lnino@example.com,722.330.6046x333,3,2022-11-09,Ocasional
112,890936600,Andrés,Díaz Quiñones,M,1993-05-29,dmelendez@example.org,(609)656-9998x808,2,2022-05-15,Ocasional
113,336910396,Bianca,Razo Reyes,M,1969-07-10,guillennorma@example.net,086-803-4764x472,1,2024-10-09,Ocasional
114,991163171,Luisa,Lozano Ayala,N,1952-05-27,marisolrazo@example.org,812.982.6657x02793,4,2023-05-20,Ocasional
115,379386221,María Elena,Bustamante Henríquez,N,1989-09-19,violeta21@example.org,07518689268,2,2022-01-03,Frecuente
116,286872314,Juan,Armas de la Rosa,M,1995-07-06,raul22@example.org,(064)474-2123,4,2022-07-07,Frecuente
117,954534978,Abelardo,Hernandes Alcala,M,1984-03-11,fsalinas@example.net,+97(3)3977671990,1,2022-11-16,VIP
118,338858559,Felipe,Trujillo Ledesma,N,1958-01-16,amadorescalante@example.org,+50(2)0994510162,4,2025-12-19,Ocasional
119,752424219,Cynthia,Linares Yáñez,M,1963-09-15,maria-eugeniaveliz@example.com,+14(5)5616814721,1,2025-07-23,VIP
120,162156718,Gerardo,Mendoza Soto,N,2006-08-22,nsosa@example.net,1-901-981-7946,3,2024-04-09,Ocasional
121,018933038,Sandra,Mateo Huerta,N,1992-12-14,catalina99@example.com,772-934-3010x7139,1,2024-12-24,Ocasional
122,037280625,Linda,Pedraza Armenta,F,1960-12-12,jeronimo83@example.org,344-144-8850x15569,1,2025-09-13,Ocasional
123,071652357,Sergio,Anaya del Río,N,1982-10-12,isabelmireles@example.net,702.727.8576x084,3,2024-09-02,Frecuente
124,035796347,Raúl,Mata Vaca,M,1956-12-14,friasreynaldo@example.net,1-512-405-6829,,,Ocasional
125,340907523,Samuel,Ordóñez Escobar,N,1994-07-23,manzanaresignacio@example.net,+46(1)7357438421,4,2022-01-02,Frecuente
126,801960841,José Luis,Archuleta Ferrer,N,1958-01-21,quiroznatividad@example.org,823.578.4521x823,2,2025-03-16,VIP
127,279645409,Alejandro,Rico Ontiveros,F,1969-05-06,acunahugo@example.org,(915)701-8409x43533,4,2023-04-19,VIP
128,067166096,Gonzalo,Lebrón Tejada,N,1997-12-23,marcos14@example.org,(410)988-1385,4,2023-12-23,Ocasional
129,262659626,Paulina,Matos Juárez,N,1984-04-16,gloriavela@example.org,(149)587-0207,3,2023-01-08,Frecuente
130,211530382,Zeferino,Arteaga Caraballo,F,2000-07-06,fayala@example.com,299-795-4538x179,,,Ocasional
131,200194357,César,Cabán Rocha,F,1985-12-20,resendezhoracio@example.net,773-329-4562x55770,4,2023-09-26,Frecuente
132,808336080,Andrés,Roldán Carreón,F,1971-12-01,mauro72@example.com,992.816.1581,4,2023-02-12,Frecuente
133,079569416,Hermelinda,Tejada Riojas,N,1982-02-16,avillanueva@example.org,382.761.5396x6958,2,2023-10-20,VIP
134,265713114,Eugenio,Delgadillo Bernal,M,1988-04-08,lcarrero@example.net,1-581-724-6191x965,,,Frecuente
135,869655339,Miguel Ángel,Ballesteros Bustamante,F,1988-12-28,claravera@example.net,+22(7)8469973354,,,Frecuente
136,789227773,Rebeca,Maestas Puga,M,1985-06-26,augusto90@example.net,624-058-0085x1403,2,2025-05-29,Ocasional
137,278242882,Magdalena,Villanueva Orta,N,2000-05-12,juana66@example.com,(327)238-6562x4220,3,2024-10-22,VIP
138,464996575,Angélica,Alemán Colón,F,1958-12-13,iquesada@example.org,679-692-7868,1,2025-03-15,Frecuente
139,401874383,María del Carmen,Olivo Mota,F,2006-07-19,eduardopineda@example.net,+97(3)8468950097,3,2024-08-25,Ocasional
140,817003583,José Carlos,Carreón Vera,M,1963-04-25,jbetancourt@example.net,847.818.9137x18949,1,2022-02-26,Ocasional
141,173117488,Ana,Montalvo Téllez,N,2003-05-16,rodartemaria-elena@example.net,956.544.2094x940,3,2025-07-10,Frecuente
142,640990520,Sonia,Rojas Véliz,N,1982-05-05,renatoavalos@example.net,(904)712-8144,3,2024-03-23,Ocasional
143,302538218,César,León Laureano,M,1962-03-06,adela19@example.org,1-275-243-7280x5129,3,2024-07-25,VIP
144,222136747,Cristian,Saldivar Paz,N,1985-07-20,qgranados@example.com,239.504.1027x67478,1,2022-03-08,Ocasional
145,599371835,Eugenia,Ojeda Orellana,M,1963-09-23,jiglesias@example.net,(047)658-0185x694,4,2024-06-16,Ocasional
146,802938027,Israel,Jimínez Jaramillo,F,1954-03-18,herreravanesa@example.net,739-385-2580x010,,,VIP
147,623177771,Lilia,Calvillo Sosa,M,1996-09-05,ramirezjeronimo@example.org,443.009.1093x91119,2,2022-01-20,Ocasional
148,114928222,Catalina,Núñez Valles,F,1989-07-24,blancaenriquez@example.com,(717)465-4214,4,2024-07-23,VIP
149,384476382,Anel,Olivas Oquendo,N,1955-01-31,ana-maria44@example.org,1-173-962-7128x639,2,2022-04-25,VIP
150,099752422,Trinidad,Caraballo Quintanilla,N,1961-10-29,benjamin01@example.org,1-470-720-0642x5690,4,2022-05-20,VIP
151,978790411,Noelia,Salas Romo,M,1976-04-04,upaez@example.org,(306)719-8554x6015,4,2024-04-27,VIP
152,928471966,Oswaldo,Molina Blanco,F,1973-05-14,plongoria@example.org,(806)346-1571,2,2023-06-25,Frecuente
153,035591663,Susana,Quezada Espinal,M,1966-02-20,alejandroespinoza@example.org,937.618.4787x00505,3,2024-02-29,VIP
154,357971221,Alma,Palomino Casanova,N,1956-11-05,ursulasolorzano@example.com,(829)310-2707x90320,1,2022-06-26,Ocasional
155,914523649,Débora,Arteaga Maldonado,N,1954-06-27,reyessantiago@example.org,1-111-799-3136x5651,,,Ocasional
156,840820621,René,Trejo Chapa,M,2002-09-24,ernesto09@example.org,1-114-262-5827,3,2022-12-31,Ocasional
157,578111997,Federico,Verdugo Arevalo,M,1969-10-07,benitoocampo@example.org,+71(0)0219467232,1,2024-01-09,Ocasional
158,811166283,Timoteo,Juárez Solorzano,M,1967-07-10,ppatino@example.org,092.791.4560x8331,2,2023-02-19,Ocasional
159,924905555,Olga,Cadena Nájera,F,1951-01-20,marisolfrias@example.com,+31(2)7722005436,2,2022-01-22,Frecuente
160,863536816,Fidel,Mesa Rendón,F,1973-02-02,canoamelia@example.net,(207)811-3799,,,Ocasional
161,362953219,Irma,Perea Farías,F,1978-08-11,estela15@example.org,03636317970,3,2025-03-07,Ocasional
162,148308165,Marco Antonio,Colunga Gálvez,M,1963-07-16,ydominguez@example.com,735-435-2090,3,2024-04-20,Ocasional
163,213774447,Gilberto,Chacón Carranza,M,1986-08-29,areynoso@example.org,1-349-292-9831,3,2025-09-22,VIP
164,714066063,Lilia,Solorio Sáenz,M,1968-05-15,rosarojas@example.com,063-356-9392,1,2022-03-31,Ocasional
165,258718080,Renato,Adame Perales,M,1956-11-04,arevalomariano@example.net,068-671-7731x8063,1,2025-12-27,Frecuente
166,314444815,César,Muñoz Lucero,N,1979-04-24,vicentebustamante@example.org,427.990.7726x257,4,2023-09-26,Frecuente
167,978603559,Tania,Abreu Batista,F,1997-01-18,hmercado@example.org,(649)893-1950,,,Frecuente
168,579628771,Noelia,Narváez Ávalos,F,1961-08-07,oliverajosefina@example.com,055.281.8325x3817,1,2025-06-04,Frecuente
169,198110601,Roberto,Fuentes Garza,F,1997-09-20,jesus48@example.net,(401)557-7881x788,,,Frecuente
170,245877146,Guillermo,Razo Nazario,M,1986-06-13,escobedomaria-jose@example.org,06241124127,3,2025-03-24,Ocasional
171,601615084,Cornelio,Flores Soliz,M,1965-01-30,lozadalorena@example.net,(275)670-4310x3856,3,2023-02-07,Ocasional
172,751380631,Ricardo,Montalvo Mena,M,1997-07-02,qvillasenor@example.net,877-492-4243x7540,1,2023-12-29,Ocasional
173,514817704,Concepción,Morales Linares,N,1988-10-10,nde-la-cruz@example.org,1-842-222-3105x92745,4,2023-05-15,VIP
174,815885868,Dulce María,Flórez Valenzuela,M,1969-03-30,mateojaime@example.org,782.841.0672,1,2024-11-01,Ocasional
175,316588431,María José,Maya Cortés,F,1999-07-15,trevinonatividad@example.com,474-929-7517x02814,,,Frecuente
176,001519716,Alberto,Padilla Garay,N,1970-01-29,fmunguia@example.com,+93(9)8343018718,1,2024-12-18,Frecuente
177,477909436,Laura,Esquivel Salas,F,2006-06-11,salvador98@example.org,(562)656-5045x54781,,,Ocasional
178,169588201,Esmeralda,Quiroz Pelayo,N,1989-11-20,klomeli@example.net,(629)912-3478x519,1,2023-12-23,Ocasional
179,948652616,José Manuél,Bueno Aguayo,N,1963-07-09,alaboy@example.org,(792)326-4870x4947,4,2024-12-29,Ocasional
180,318503265,Rafaél,Rivas Garrido,M,1980-10-23,acevedocristian@example.com,(714)627-3014,4,2025-07-10,Frecuente
181,677856461,Miguel,Barrera Zamudio,N,1986-12-18,roberto79@example.com,715-890-4290,,,Frecuente
182,375300746,Clemente,Maya Riojas,F,1972-11-13,jonasdavila@example.org,565-044-8183,3,2024-04-10,Ocasional
183,291653428,Soledad,Elizondo Cabrera,N,2006-07-07,pamelamedrano@example.com,(445)189-5202x84576,1,2024-02-19,Frecuente
184,250206653,Jacinto,Curiel Canales,M,1979-04-23,cristalsantacruz@example.org,1-898-881-6711,1,2022-12-02,Ocasional
185,390459052,César,Alfaro Rosado,F,1982-03-03,hugo52@example.com,852.401.3223x4232,,,Frecuente
186,085160465,Arcelia,Pizarro Carrasco,M,2005-07-09,almarazmaximiliano@example.com,+31(0)8907140140,1,2025-02-07,Ocasional
187,392197902,Beatriz,Castañeda Zarate,N,1980-12-11,rodrigofeliciano@example.org,(501)249-5528x93891,,,Ocasional
188,458560932,Berta,Véliz Alcaraz,N,1973-06-03,elisalerma@example.org,(013)875-9271x2566,4,2025-01-13,Ocasional
189,682407996,Ernesto,Serrano Gil,N,1992-05-09,wcarreon@example.com,07182754801,,,VIP
190,806236022,Itzel,Salcido Carrillo,F,1961-10-19,dlimon@example.net,473.864.6317x52071,,,Ocasional
191,323494919,Leonardo,Quezada Solorzano,F,1962-09-20,casaresclaudio@example.com,912-153-5396x136,3,2023-12-06,Ocasional
192,644341916,Modesto,Leiva Verdugo,F,1971-03-02,trinidad65@example.com,(967)842-7114x77320,3,2024-06-19,Frecuente
193,723932732,Berta,Avilés Barreto,F,1979-04-09,lamador@example.com,524.991.1877x3477,,,VIP
194,853401331,Natalia,Ibarra Torres,N,2003-06-19,paola80@example.org,(167)567-7002x842,,,VIP
195,369907496,Mitzy,Prado Cervantes,N,1991-07-26,julio71@example.net,(788)977-8280x64796,3,2025-01-02,Frecuente
196,676573316,Sergio,Morales Linares,M,1981-01-24,anel09@example.org,559-056-1655,,,VIP
197,115464095,Lilia,Montoya Badillo,N,1954-03-26,fernandogollum@example.net,(911)415-2085,3,2024-07-06,Frecuente
198,422327287,Alfonso,Rincón Pichardo,N,1976-07-15,bjaramillo@example.net,905.696.5917x135,,,VIP
199,433851292,Miriam,Sandoval Mojica,F,1970-10-04,sessaluna@example.com,(371)834-4049x639,2,2023-02-04,Frecuente
200,120762699,Aurelio,Véliz Cadena,F,1953-05-11,georgina19@example.net,635.148.4685x366,2,2025-02-14,Frecuente
201,074408430,Fidel,Serrato Rendón,M,1960-12-19,aidasevilla@example.org,1-737-489-6908x3572,3,2025-09-15,Frecuente
202,232870583,Fabiola,Corona Macías,N,1992-12-01,upartida@example.org,364-424-9363x12303,4,2024-10-13,VIP
203,047953992,Horacio,Rivera Ruelas,F,1962-04-02,ppichardo@example.org,1-242-044-8207,4,2025-07-12,Ocasional
204,729055000,Alejandra,Baca Botello,N,1999-09-17,salvador41@example.com,162.319.8189,1,2024-12-24,Frecuente
205,986300562,Ofelia,Heredia Salgado,F,1965-04-09,granadosruby@example.org,1-596-363-2123,3,2025-06-22,Ocasional
206,796754588,Gerardo,Quiñónez Paredes,F,1979-06-25,rolando07@example.net,158.673.4257,2,2024-11-27,Ocasional
207,780145768,José Carlos,Manzanares Alonso,N,1956-08-21,ayalayuridia@example.org,864-518-3760,2,2025-08-02,Ocasional
208,688497592,Laura,Herrera Madera,F,1958-11-15,graciahector@example.org,(756)041-7765,,,Ocasional
209,248535076,Luisa,Camarillo Cruz,M,1997-05-20,natividad15@example.com,857.002.7206x3459,,,Frecuente
210,810294529,Armando,Carranza Cotto,N,1951-01-08,noemicedillo@example.net,(657)724-2954x31652,2,2022-08-04,Ocasional
211,453189527,Laura,Ocasio Vásquez,M,2006-05-05,alejandraaltamirano@example.net,931-734-2069x69421,1,2024-08-09,Ocasional
212,908313715,José Carlos,de la Rosa Valverde,N,1957-02-28,alcarazolivia@example.com,1-713-334-4762x639,,,VIP
213,589363170,Esmeralda,Leyva Esparza,M,1997-08-25,aduenas@example.org,+44(3)9735971072,1,2024-10-25,Frecuente
214,703827203,Irene,Otero Galindo,N,1997-08-19,vpina@example.net,118-005-3759,4,2022-10-14,Frecuente
215,906555226,Yuridia,Zamora Armenta,N,1950-08-22,hernandesnatalia@example.net,465-280-9242x875,4,2022-07-05,Ocasional
216,394268824,Mayte,Centeno Burgos,M,1982-01-13,olga62@example.com,05027456449,,,Frecuente
217,123601524,Gabino,Sierra Marroquín,F,1952-07-12,ude-anda@example.net,287.032.0320x742,4,2025-08-24,Ocasional
218,309253207,Mayte,Pulido Carrillo,F,1956-11-13,carevalo@example.com,1-877-712-1513x42284,4,2023-10-25,VIP
219,625894299,Ramón,Vigil Galindo,M,1966-12-13,soteloreina@example.org,(137)150-4165x915,2,2024-10-01,Ocasional
220,901449516,Cristian,Anaya Bonilla,N,1974-04-11,drosado@example.net,905-097-5923,2,2025-04-27,Frecuente
221,320474468,Amanda,Leyva Medrano,N,2004-06-10,batistapascual@example.net,164-236-1032x664,1,2025-03-12,Ocasional
222,157264239,Vicente,Corrales Casárez,M,1971-04-11,mitzy64@example.net,251.583.7767x4996,,,Ocasional
223,581448098,Aurora,Pichardo Negrete,N,1960-10-01,manuelpolanco@example.org,+85(7)3278814761,,,Ocasional
224,887703255,Mateo,Macías Córdova,M,1995-07-05,helenaguzman@example.net,(490)810-8186x617,4,2025-08-28,Frecuente
